origin,destination,weight,delivery_date,status
Tunisia,UK,7.95,2024-01-13,Delivered
Tunisia,Italy,9.05,2024-08-20,Delivered
China,France,7.95,2024-09-22,Pending
USA,France,15.98,2024-10-11,Pending
Tunisia,France,40.64,2024-10-09,Pending
Spain,France,27.66,2024-04-02,Delivered
Germany,UK,36.61,2024-12-02,Pending
Tunisia,Italy,35.03,2024-11-22,Pending
USA,Italy,32.92,2024-03-10,Delivered
Germany,France,33.8,2024-10-09,Delivered
Spain,France,17.73,2024-06-23,In Transit
USA,Italy,-7.25,2024-10-18,Delivered
USA,UK,-4.22,2024-10-09,Pending
USA,France,-6.75,2024-12-15,In Transit
Spain,Italy,9.44,2024-07-20,In Transit
Germany,UK,2.27,2024-02-08,Pending
China,France,44.22,2024-05-02,In Transit
USA,Germany,26.97,2024-10-09,Pending
Tunisia,France,16.0,2024-10-09,Pending
Germany,Italy,32.74,2024-07-05,Pending
Tunisia,Italy,16.96,2024-11-06,In Transit
China,Italy,37.24,2024-03-27,In Transit
China,UK,7.95,2024-10-01,Pending
Germany,France,1.73,2024-04-19,Delivered
USA,France,25.4,2024-10-26,Pending
China,UK,2.98,2024-11-28,Delivered
Germany,Germany,28.72,2024-12-06,Delivered
Spain,UK,33.07,2024-10-09,In Transit
Spain,UK,47.97,2024-07-13,Delivered
Spain,France,2.71,2024-06-02,Delivered
Spain,UK,32.36,2024-06-07,In Transit
Germany,France,41.46,2024-05-16,Delivered
USA,France,-0.57,2024-01-01,Delivered
Spain,France,33.38,2024-10-09,Pending
China,France,28.66,2024-10-09,Delivered
Tunisia,France,-5.83,2024-12-05,In Transit
Germany,France,-4.94,2024-04-11,Delivered
Tunisia,Germany,49.19,2024-03-24,Delivered
China,Italy,26.54,2024-02-04,In Transit
Germany,Germany,-6.63,2024-06-13,Delivered
Germany,Italy,24.76,2024-07-11,Delivered
Spain,UK,13.21,2024-11-27,Pending
Germany,France,-0.09,2024-10-08,Pending
Tunisia,France,6.13,2024-08-16,Delivered
USA,UK,15.82,2024-06-01,In Transit
China,France,-2.34,2024-10-09,Delivered
Tunisia,Italy,7.95,2024-12-28,Delivered
Germany,Germany,1.78,2024-02-12,Delivered
Tunisia,France,12.85,2024-11-17,In Transit
Germany,France,-1.37,2024-01-14,Pending
USA,UK,35.71,2024-06-17,Pending
Germany,France,6.71,2024-02-06,Delivered
Tunisia,France,30.1,2024-04-25,Delivered
USA,France,38.78,2024-07-21,Delivered
USA,France,1.68,2024-10-19,Pending
Tunisia,Germany,-6.57,2024-08-06,Pending
Germany,France,41.35,2024-10-09,Pending
China,France,26.46,2024-01-06,Pending
Tunisia,France,-4.85,2024-04-02,In Transit
China,France,8.34,2024-04-16,Delivered
Germany,Italy,27.1,2024-10-12,In Transit
Germany,UK,15.12,2024-09-14,In Transit
USA,UK,-5.69,2024-10-09,In Transit
Spain,UK,17.17,2024-05-01,Pending
Tunisia,France,6.6,2024-04-19,Pending
Germany,France,23.22,2024-06-24,Delivered
China,Italy,40.1,2024-01-09,Pending
China,Germany,7.95,2024-02-12,Delivered
Germany,Germany,23.85,2024-10-09,In Transit
USA,UK,7.95,2024-09-26,In Transit
China,UK,-6.57,2024-11-06,Delivered
Spain,UK,27.69,2024-09-02,Delivered
USA,France,0.81,2024-01-23,Delivered
Germany,France,32.5,2024-05-19,Pending
China,France,7.95,2024-02-03,In Transit
Spain,Germany,18.94,2024-06-27,Pending
Spain,France,27.25,2024-10-09,In Transit
Germany,UK,45.1,2024-08-20,Delivered
Germany,Italy,25.58,2024-10-01,Delivered
Spain,France,40.22,2024-01-15,In Transit
Germany,France,28.01,2024-05-19,In Transit
USA,Italy,39.66,2024-03-19,Delivered
Spain,Italy,-4.71,2024-01-12,Delivered
Spain,UK,43.47,2024-02-13,In Transit
USA,Italy,12.82,2024-11-21,In Transit
China,UK,23.31,2024-03-24,Delivered
Spain,France,8.56,2024-10-09,In Transit
Spain,France,26.53,2024-01-07,Delivered
Tunisia,France,33.03,2024-01-26,Pending
Germany,Italy,36.99,2024-04-16,In Transit
Spain,France,22.88,2024-10-09,Pending
USA,France,-2.61,2024-07-06,Delivered
Spain,France,31.32,2024-03-14,Pending
Spain,UK,47.65,2024-08-18,Delivered
USA,UK,32.03,2024-10-07,In Transit
China,France,40.45,2024-04-02,Delivered
Tunisia,UK,2.9,2024-04-02,Delivered
Tunisia,Germany,7.95,2024-05-09,Delivered
USA,France,32.08,2024-08-26,Delivered
USA,France,39.49,2024-11-24,Pending
Tunisia,Germany,13.34,2024-02-02,Pending
Germany,France,-6.99,2024-04-12,Pending
Germany,France,44.38,2024-05-07,Delivered
USA,Germany,12.14,2024-10-09,Pending
Tunisia,Germany,30.16,2024-10-09,Pending
Tunisia,Germany,40.57,2024-10-09,In Transit
China,UK,30.58,2024-11-21,In Transit
Spain,France,45.46,2024-12-25,Pending
Spain,France,-0.46,2024-12-21,Delivered
Germany,UK,39.14,2024-10-09,Delivered
Spain,France,45.35,2024-06-16,In Transit
Spain,France,12.52,2024-01-15,Delivered
Spain,Italy,-4.53,2024-10-09,Pending
Tunisia,France,-7.73,2024-09-24,In Transit
Spain,Germany,47.97,2024-10-07,In Transit
China,UK,2.03,2024-06-06,Delivered
USA,France,-1.95,2024-11-19,Pending
Germany,France,-0.57,2024-10-09,In Transit
USA,UK,3.85,2024-12-12,Delivered
Tunisia,France,46.3,2024-04-16,Pending
China,UK,-9.4,2024-05-07,Delivered
Tunisia,Germany,7.47,2024-08-24,Delivered
Germany,France,43.28,2024-10-09,Delivered
Tunisia,Germany,7.95,2024-11-25,Delivered
Spain,Italy,25.96,2024-10-09,Pending
USA,France,7.95,2024-11-05,Delivered
Germany,Italy,-6.38,2024-02-05,In Transit
Tunisia,UK,48.95,2024-10-09,Pending
Tunisia,France,18.28,2024-11-21,Pending
USA,France,39.78,2024-10-09,Delivered
Tunisia,France,7.95,2024-09-25,Delivered
Spain,France,4.03,2024-02-04,Delivered
Tunisia,Germany,23.52,2024-05-25,In Transit
China,Italy,-8.44,2024-03-15,In Transit
Tunisia,France,-2.4,2024-02-25,In Transit
China,France,30.48,2024-03-18,In Transit
Spain,France,5.65,2024-03-20,Delivered
USA,France,23.63,2024-09-16,Pending
Germany,Italy,7.95,2024-04-14,Pending
Spain,UK,39.35,2024-08-27,Delivered
USA,Germany,40.48,2024-08-12,Pending
China,France,-4.84,2024-01-12,Pending
Spain,France,13.15,2024-06-18,Pending
Spain,Italy,37.09,2024-03-01,Delivered
Spain,UK,-6.11,2024-10-07,Delivered
China,France,42.22,2024-04-09,Pending
China,Italy,7.95,2024-08-12,Delivered
Germany,Italy,14.59,2024-05-08,Pending
China,France,36.63,2024-07-13,Delivered
USA,France,25.47,2024-06-12,Delivered
Germany,UK,-4.1,2024-02-10,Delivered
USA,Germany,31.17,2024-11-20,Pending
Germany,UK,-0.09,2024-06-06,Pending
Germany,Germany,17.06,2024-07-21,Pending
Tunisia,France,30.16,2024-05-10,Pending
China,France,26.2,2024-09-22,In Transit
Germany,France,2.3,2024-02-01,In Transit
Tunisia,Germany,7.95,2024-12-03,Pending
USA,France,11.94,2024-10-09,Pending
China,Italy,42.05,2024-03-22,In Transit
Tunisia,Italy,9.17,2024-06-03,Delivered
USA,UK,1.53,2024-01-05,In Transit
Spain,Italy,9.59,2024-10-09,Pending
China,Germany,38.27,2024-10-03,In Transit
Spain,France,8.82,2024-10-09,Delivered
China,UK,35.96,2024-08-18,Delivered
China,Germany,41.23,2024-10-09,Delivered
Germany,Germany,41.05,2024-10-09,In Transit
Tunisia,Italy,32.44,2024-04-23,Delivered
China,UK,12.98,2024-08-26,Pending
Germany,UK,8.5,2024-10-09,In Transit
China,France,29.57,2024-10-09,Delivered
Spain,France,37.07,2024-08-21,Delivered
China,Italy,44.84,2024-10-12,Pending
Germany,Italy,7.95,2024-05-11,Delivered
USA,France,7.95,2024-06-07,Delivered
Spain,France,35.27,2024-04-23,In Transit
China,France,2.21,2024-12-03,Delivered
Germany,France,35.99,2024-08-11,Delivered
USA,France,23.83,2024-09-03,Delivered
USA,France,15.28,2024-02-15,Delivered
China,Germany,26.47,2024-04-15,Delivered
USA,UK,27.63,2024-07-19,Delivered
Germany,Germany,33.77,2024-10-09,In Transit
USA,France,42.91,2024-08-09,In Transit
Spain,Italy,13.81,2024-02-14,Delivered
Germany,France,9.46,2024-05-08,In Transit
Germany,France,0.51,2024-04-21,Delivered
Tunisia,France,-2.69,2024-02-19,Pending
USA,Italy,7.95,2024-10-11,In Transit
Germany,France,10.7,2024-01-02,In Transit
China,UK,7.95,2024-05-23,Delivered
Germany,France,25.18,2024-07-07,In Transit
China,Italy,-4.56,2024-10-09,In Transit
USA,Germany,15.69,2024-08-26,Pending
Germany,France,18.76,2024-04-01,Pending
USA,France,46.81,2024-09-08,Delivered
Germany,Germany,25.65,2024-09-20,Pending
Spain,France,37.21,2024-03-11,Pending
Spain,UK,9.02,2024-10-09,Delivered
China,UK,-7.49,2024-07-14,Delivered
China,France,27.43,2024-10-09,Delivered
Spain,UK,0.01,2024-12-18,Pending
China,France,49.78,2024-10-21,Pending
Spain,Germany,-0.03,2024-10-09,Delivered
Tunisia,Germany,14.13,2024-01-11,Pending
Tunisia,Germany,8.99,2024-10-09,Pending
China,France,-2.32,2024-10-09,Delivered
Germany,France,38.74,2024-11-13,In Transit
China,UK,7.95,2024-03-08,Pending
USA,Italy,24.96,2024-11-17,Delivered
Germany,UK,30.45,2024-10-13,Pending
USA,UK,47.17,2024-11-18,Delivered
Spain,France,7.95,2024-11-16,In Transit
USA,Germany,7.95,2024-05-17,In Transit
Germany,France,-6.78,2024-10-02,Delivered
China,France,42.2,2024-11-24,Delivered
USA,UK,4.41,2024-05-25,Pending
Spain,Italy,29.04,2024-08-03,Delivered
China,Germany,33.79,2024-10-09,Delivered
Germany,Germany,48.98,2024-07-04,Pending
Spain,France,32.72,2024-08-22,Delivered
China,Italy,47.58,2024-08-18,Pending
Spain,France,-2.45,2024-06-05,Pending
Germany,France,-2.61,2024-10-09,In Transit
Germany,France,8.1,2024-12-16,Pending
Tunisia,Italy,7.95,2024-02-28,Delivered
USA,France,0.55,2024-04-05,Pending
China,France,24.75,2024-03-07,In Transit
Spain,Italy,32.58,2024-10-02,Pending
Germany,France,11.4,2024-02-18,Pending
China,France,29.98,2024-10-09,In Transit
Germany,Italy,-7.48,2024-10-19,Pending
China,France,35.77,2024-02-28,In Transit
Germany,UK,35.92,2024-09-20,In Transit
China,Germany,38.6,2024-09-02,Pending
USA,UK,-2.68,2024-12-01,In Transit
Germany,UK,42.96,2024-09-04,In Transit
Tunisia,France,24.11,2024-09-26,Delivered
Tunisia,Italy,29.96,2024-05-09,Pending
Tunisia,France,46.47,2024-05-04,Pending
Spain,France,24.64,2024-07-17,Pending
USA,France,-0.52,2024-07-26,In Transit
USA,Germany,3.67,2024-10-09,Pending
Spain,Italy,7.95,2024-11-01,Delivered
Germany,France,35.41,2024-09-24,Pending
Tunisia,France,43.28,2024-02-27,In Transit
China,France,4.78,2024-07-17,In Transit
Tunisia,France,42.38,2024-06-10,In Transit
Tunisia,UK,46.79,2024-11-13,Pending
USA,UK,42.18,2024-05-16,Delivered
Germany,France,-4.51,2024-11-05,In Transit
China,Italy,14.0,2024-10-25,Pending
Tunisia,Italy,0.78,2024-02-25,Pending
Spain,France,-2.4,2024-08-03,Delivered
Tunisia,France,17.64,2024-10-09,Pending
Spain,UK,-9.17,2024-04-13,Pending
China,Italy,41.83,2024-03-05,Delivered
Germany,France,9.94,2024-12-26,Delivered
Spain,France,24.26,2024-03-09,Delivered
Germany,France,7.95,2024-03-11,Delivered
Tunisia,UK,18.95,2024-04-23,Pending
Spain,Italy,47.83,2024-10-09,In Transit
China,Italy,13.56,2024-07-27,In Transit
Tunisia,UK,12.71,2024-02-11,Delivered
Germany,Italy,-8.82,2024-09-21,In Transit
Tunisia,France,7.95,2024-10-20,Delivered
Germany,France,-9.04,2024-05-17,Delivered
Germany,Italy,13.54,2024-07-11,In Transit
Spain,Germany,29.13,2024-02-12,In Transit
China,France,7.95,2024-10-21,Delivered
China,Germany,3.94,2024-03-06,Delivered
Germany,Italy,7.95,2024-10-12,Delivered
Tunisia,France,5.26,2024-09-23,Delivered
Spain,UK,-0.87,2024-11-18,In Transit
Spain,France,3.38,2024-12-25,Pending
Tunisia,France,2.17,2024-03-04,Pending
Spain,France,17.46,2024-11-24,Delivered
China,France,37.69,2024-04-03,In Transit
Spain,France,17.15,2024-10-09,Pending
Germany,France,5.34,2024-12-12,Delivered
Spain,France,38.47,2024-10-09,In Transit
Tunisia,France,0.01,2024-12-03,Delivered
USA,Germany,7.95,2024-05-10,In Transit
Spain,France,13.47,2024-01-11,In Transit
Spain,Italy,46.51,2024-01-02,In Transit
China,Germany,7.95,2024-09-05,In Transit
China,France,-7.25,2024-07-13,In Transit
Spain,UK,39.99,2024-10-09,Delivered
USA,UK,12.51,2024-12-13,Pending
USA,France,26.37,2024-02-17,In Transit
Spain,France,49.11,2024-10-09,Delivered
Tunisia,Italy,-6.73,2024-02-16,Pending
China,Germany,-5.58,2024-10-09,Pending
Spain,Italy,7.95,2024-04-06,Delivered
Germany,France,1.98,2024-10-10,Pending
Germany,Germany,42.91,2024-05-24,In Transit
Tunisia,France,47.37,2024-03-24,In Transit
USA,Germany,5.55,2024-10-09,Delivered
China,France,7.05,2024-09-08,In Transit
Spain,UK,35.68,2024-02-13,Delivered
USA,France,40.01,2024-10-09,Delivered
USA,France,10.88,2024-10-04,Pending
Spain,UK,31.42,2024-02-05,Delivered
Tunisia,France,20.17,2024-03-24,Pending
Spain,Italy,14.84,2024-10-09,In Transit
Tunisia,UK,7.95,2024-03-04,Delivered
Tunisia,Italy,3.39,2024-01-08,In Transit
Tunisia,France,1.5,2024-10-09,Delivered
China,France,-6.25,2024-01-15,Pending
USA,France,4.21,2024-12-07,Pending
Germany,Germany,19.67,2024-10-09,Delivered
Tunisia,UK,49.86,2024-02-19,Pending
Spain,France,31.07,2024-06-19,Pending
Tunisia,UK,-0.67,2024-02-23,Pending
Tunisia,France,12.8,2024-05-10,Pending
Germany,Italy,44.44,2024-06-12,Pending
Germany,Italy,7.95,2024-11-06,In Transit
Germany,France,-3.82,2024-04-16,Pending
Germany,Italy,13.98,2024-11-04,In Transit
USA,UK,30.12,2024-04-27,Pending
China,France,42.18,2024-12-24,In Transit
Spain,UK,37.95,2024-10-09,In Transit
Spain,France,33.78,2024-10-09,Pending
China,France,-2.81,2024-10-09,In Transit
Spain,Italy,10.15,2024-10-09,In Transit
China,UK,6.04,2024-10-19,In Transit
Spain,France,-9.19,2024-07-08,Delivered
Tunisia,UK,1.43,2024-08-25,Delivered
Spain,France,8.61,2024-10-09,Pending
China,France,38.1,2024-12-25,In Transit
USA,France,10.32,2024-12-25,Delivered
China,UK,2.48,2024-05-07,Pending
Spain,France,11.62,2024-10-09,Pending
USA,France,7.95,2024-03-11,Delivered
Germany,France,-8.38,2024-07-28,Pending
China,Germany,0.34,2024-09-05,Delivered
Spain,Italy,18.2,2024-02-27,Pending
China,France,-2.95,2024-06-23,Delivered
Spain,France,7.95,2024-04-27,Pending
USA,France,41.37,2024-10-09,In Transit
Germany,Italy,14.76,2024-07-28,Delivered
USA,France,25.82,2024-09-02,Delivered
Spain,France,7.95,2024-10-01,Delivered
China,France,25.68,2024-04-10,Pending
USA,UK,21.45,2024-12-28,Delivered
Tunisia,UK,-5.46,2024-02-14,Delivered
Germany,France,32.73,2024-10-09,In Transit
Tunisia,France,45.87,2024-01-28,Pending
Tunisia,Germany,8.32,2024-12-13,Delivered
China,Germany,7.95,2024-11-02,Pending
Tunisia,Italy,10.02,2024-08-08,In Transit
Spain,France,21.86,2024-08-06,Delivered
Germany,France,20.07,2024-11-26,Delivered
Spain,Germany,15.92,2024-11-10,In Transit
Tunisia,Germany,21.57,2024-05-28,Delivered
Tunisia,France,38.12,2024-11-10,Pending
Tunisia,France,21.94,2024-03-26,Pending
Germany,France,-8.58,2024-07-28,In Transit
China,France,17.03,2024-10-09,Delivered
Germany,UK,39.61,2024-10-09,Delivered
Germany,France,30.36,2024-11-27,Pending
China,France,18.88,2024-08-17,Delivered
Tunisia,UK,7.95,2024-11-02,Delivered
Tunisia,France,20.45,2024-09-04,Delivered
Tunisia,France,17.05,2024-07-16,Delivered
Spain,Italy,27.3,2024-11-14,Delivered
China,Germany,39.78,2024-04-02,In Transit
Germany,France,10.1,2024-05-01,Delivered
Germany,UK,40.3,2024-10-09,Delivered
Tunisia,France,24.07,2024-12-23,In Transit
Tunisia,France,19.51,2024-10-09,Delivered
USA,UK,28.05,2024-02-28,In Transit
USA,UK,7.95,2024-12-19,In Transit
Spain,Germany,-1.87,2024-04-05,Pending
Spain,France,22.29,2024-09-25,Pending
Tunisia,France,39.36,2024-07-17,Pending
China,UK,19.45,2024-03-01,Pending
Spain,Germany,48.17,2024-03-06,In Transit
USA,France,-9.81,2024-10-09,Pending
China,UK,19.2,2024-01-25,In Transit
Germany,France,7.95,2024-01-14,In Transit
Tunisia,UK,-3.04,2024-05-08,Pending
USA,France,17.4,2024-11-03,Delivered
China,France,40.07,2024-11-11,Delivered
USA,UK,24.9,2024-12-25,Pending
USA,France,38.24,2024-06-20,Delivered
Spain,France,35.25,2024-10-09,In Transit
Spain,Germany,-1.24,2024-10-09,In Transit
China,France,-8.92,2024-11-06,Delivered
USA,Italy,-1.81,2024-06-23,Pending
Germany,Italy,46.24,2024-04-18,In Transit
Spain,UK,7.95,2024-09-11,Pending
USA,France,-2.15,2024-02-02,In Transit
China,France,32.57,2024-06-16,Delivered
Germany,France,-7.82,2024-10-09,Pending
China,UK,17.84,2024-09-07,Pending
China,Italy,5.7,2024-03-27,Delivered
China,France,23.68,2024-03-11,Pending
Tunisia,Germany,-1.04,2024-01-27,Pending
China,France,-6.24,2024-10-09,Pending
Germany,Italy,7.95,2024-01-16,Pending
Spain,France,44.67,2024-06-21,Delivered
USA,UK,6.02,2024-03-03,Delivered
USA,France,21.78,2024-06-01,Delivered
China,Italy,23.9,2024-01-15,Delivered
USA,Italy,-9.83,2024-04-02,Pending
China,UK,7.95,2024-08-13,Delivered
Germany,Germany,-2.74,2024-11-08,In Transit
Tunisia,France,7.95,2024-06-05,Pending
Spain,France,13.09,2024-10-09,In Transit
USA,France,7.95,2024-06-11,Delivered
China,UK,5.54,2024-08-14,Pending
China,France,38.05,2024-11-14,In Transit
Tunisia,UK,7.95,2024-01-01,Delivered
USA,France,46.69,2024-02-24,In Transit
Tunisia,Italy,28.74,2024-11-20,Pending
Germany,France,30.54,2024-11-07,Delivered
Germany,Italy,-9.36,2024-11-24,In Transit
Spain,UK,-6.5,2024-09-06,Delivered
Germany,France,7.95,2024-07-02,Pending
China,Germany,9.06,2024-01-23,Pending
Spain,France,37.17,2024-12-13,Pending
USA,UK,3.81,2024-08-23,Delivered
China,Italy,30.2,2024-08-04,Pending
Germany,Italy,11.51,2024-08-27,Delivered
Germany,UK,4.64,2024-01-20,Delivered
China,UK,48.63,2024-05-07,In Transit
China,France,16.82,2024-08-26,In Transit
Spain,France,-0.1,2024-01-13,Delivered
Spain,France,5.21,2024-05-17,Pending
Germany,UK,7.95,2024-05-27,In Transit
China,France,16.96,2024-09-01,Pending
Germany,Germany,7.95,2024-05-08,Pending
Tunisia,Germany,40.78,2024-06-13,Pending
Spain,UK,26.38,2024-08-05,In Transit
Tunisia,France,15.48,2024-01-09,Pending
Tunisia,Italy,43.07,2024-06-07,Delivered
Germany,Germany,16.27,2024-07-12,In Transit
Germany,France,-1.77,2024-07-11,Pending
China,UK,3.02,2024-10-09,Pending
China,France,7.95,2024-06-15,Delivered
Spain,UK,21.72,2024-11-15,Delivered
Germany,Germany,-4.06,2024-11-14,Pending
Tunisia,UK,46.99,2024-12-16,Delivered
USA,Italy,7.38,2024-06-02,Pending
Germany,UK,13.56,2024-11-23,Delivered
USA,France,-3.55,2024-07-24,Pending
USA,France,28.76,2024-02-04,Delivered
Spain,UK,-9.58,2024-10-09,Delivered
USA,UK,17.32,2024-07-22,Delivered
Germany,France,8.64,2024-10-09,Pending
China,France,0.54,2024-07-25,In Transit
Tunisia,France,48.6,2024-12-25,In Transit
Germany,France,-2.44,2024-01-20,Pending
Tunisia,France,7.95,2024-10-23,Delivered
Tunisia,Italy,8.85,2024-08-19,Delivered
China,France,27.76,2024-07-06,Pending
Spain,UK,25.3,2024-05-08,Delivered
Tunisia,France,19.94,2024-04-14,In Transit
USA,UK,12.04,2024-10-09,Pending
China,France,0.66,2024-07-15,Pending
China,France,38.54,2024-02-04,Pending
USA,Italy,-0.78,2024-11-05,Pending
USA,UK,23.2,2024-03-21,In Transit
USA,France,36.38,2024-04-02,In Transit
USA,France,25.59,2024-03-08,Delivered
USA,France,5.32,2024-10-09,Delivered
Germany,Italy,45.01,2024-03-18,Delivered
Tunisia,France,42.52,2024-10-09,Pending
Germany,France,13.51,2024-03-16,Pending
USA,France,42.0,2024-12-03,Delivered
USA,France,45.08,2024-12-10,Pending
USA,Germany,42.73,2024-07-09,In Transit
Germany,UK,27.97,2024-08-01,Delivered
Germany,Germany,7.95,2024-01-24,In Transit
Tunisia,Italy,37.9,2024-10-09,Delivered
Spain,Germany,47.4,2024-05-15,In Transit
Spain,France,-6.45,2024-08-09,Pending
Germany,UK,-7.61,2024-01-14,Pending
USA,France,48.74,2024-12-18,In Transit
Spain,UK,17.56,2024-11-14,Delivered
Germany,UK,44.58,2024-11-16,In Transit
Tunisia,Germany,31.7,2024-07-07,Pending
USA,France,23.06,2024-02-16,In Transit
Spain,UK,0.62,2024-01-26,In Transit
Tunisia,Germany,7.95,2024-04-18,Pending
Tunisia,UK,40.81,2024-12-21,Delivered
USA,Germany,28.49,2024-10-09,In Transit
Tunisia,France,4.28,2024-04-28,In Transit
Germany,France,36.41,2024-04-03,In Transit
Germany,Germany,35.16,2024-03-01,Delivered
China,Germany,2.52,2024-10-28,Pending
Germany,Germany,34.87,2024-03-28,Pending
USA,France,-2.4,2024-03-06,In Transit
USA,UK,26.94,2024-01-27,Delivered
Tunisia,UK,7.95,2024-05-20,Delivered
China,Germany,-9.81,2024-12-12,In Transit
Spain,Italy,6.27,2024-06-15,In Transit
China,France,49.07,2024-10-09,Delivered
Germany,France,-1.65,2024-02-15,Delivered
Tunisia,Germany,-9.4,2024-05-02,Pending
USA,Italy,7.95,2024-08-21,Delivered
Spain,Germany,-3.23,2024-07-10,Delivered
USA,France,7.95,2024-08-11,Pending
Tunisia,UK,35.8,2024-09-07,Pending
Spain,Italy,37.45,2024-11-06,Pending
Germany,France,39.73,2024-01-16,In Transit
Tunisia,France,7.95,2024-10-10,Delivered
USA,France,7.95,2024-10-24,Delivered
Germany,France,43.63,2024-08-24,In Transit
USA,Italy,24.88,2024-10-28,Delivered
Germany,France,7.95,2024-02-19,Pending
Spain,Italy,8.32,2024-10-09,In Transit
USA,Italy,-2.7,2024-10-09,Delivered
Spain,France,15.85,2024-08-24,Pending
Germany,Italy,35.87,2024-08-12,Delivered
USA,France,-9.54,2024-10-09,Delivered
USA,France,24.82,2024-01-22,Delivered
Spain,France,27.63,2024-10-09,Delivered
Spain,Germany,43.54,2024-02-12,In Transit
USA,UK,16.82,2024-02-21,Delivered
Germany,France,49.17,2024-08-25,In Transit
China,Germany,7.16,2024-01-11,Pending
USA,France,-9.92,2024-05-10,Pending
Germany,France,2.22,2024-10-09,In Transit
Tunisia,France,-7.3,2024-08-24,In Transit
Spain,France,7.95,2024-09-05,Pending
Tunisia,Italy,40.77,2024-08-04,Pending
Spain,Italy,-8.29,2024-08-06,Pending
Germany,France,13.91,2024-05-14,Delivered
China,UK,-8.74,2024-08-14,Delivered
Tunisia,UK,37.48,2024-06-19,Pending
Tunisia,France,26.31,2024-02-27,In Transit
China,Italy,4.64,2024-02-11,In Transit
China,Italy,16.54,2024-06-20,Pending
Spain,Italy,16.18,2024-01-10,Pending
Germany,Germany,26.21,2024-10-09,In Transit
Germany,France,16.77,2024-05-26,In Transit
USA,France,29.34,2024-10-12,In Transit
Spain,France,33.47,2024-08-04,Delivered
Tunisia,France,13.27,2024-12-21,Pending
USA,Germany,21.57,2024-02-23,In Transit
Tunisia,France,36.86,2024-09-22,Pending
Spain,Italy,10.7,2024-03-03,Delivered
Germany,France,22.8,2024-07-06,In Transit
Germany,Germany,42.76,2024-10-09,Pending
Tunisia,UK,7.95,2024-05-23,Delivered
Spain,France,13.87,2024-12-13,Delivered
USA,Germany,2.07,2024-03-13,Delivered
Tunisia,France,-6.38,2024-07-01,Pending
China,UK,41.74,2024-04-01,In Transit
Germany,Italy,16.5,2024-10-10,Delivered
Spain,Germany,7.95,2024-01-19,In Transit
Tunisia,Germany,-6.51,2024-03-12,In Transit
USA,Italy,10.63,2024-07-22,Pending
USA,Italy,-8.08,2024-09-23,Pending
Germany,Italy,35.03,2024-12-16,Delivered
Germany,France,38.24,2024-10-17,Delivered
China,Italy,23.87,2024-02-13,In Transit
China,Italy,44.74,2024-12-01,In Transit
Germany,France,20.93,2024-08-01,In Transit
Tunisia,Germany,32.72,2024-02-11,Pending
Tunisia,France,31.89,2024-11-13,In Transit
Germany,France,7.62,2024-09-12,Pending
USA,France,25.42,2024-01-05,Delivered
USA,France,15.23,2024-06-26,In Transit
Spain,France,9.16,2024-03-03,In Transit
Tunisia,France,14.43,2024-06-26,Delivered
Tunisia,Germany,14.32,2024-10-09,Pending
China,Italy,36.77,2024-03-07,Pending
China,France,-2.42,2024-04-19,Pending
USA,Italy,11.82,2024-10-09,In Transit
Spain,UK,-4.9,2024-02-08,Pending
Tunisia,UK,21.32,2024-05-08,In Transit
China,UK,18.65,2024-02-13,Delivered
China,Italy,7.95,2024-02-07,In Transit
Germany,France,24.97,2024-06-23,Delivered
Tunisia,France,-8.41,2024-01-11,Delivered
USA,UK,39.89,2024-11-26,Delivered
Spain,France,21.98,2024-09-12,In Transit
Tunisia,France,32.1,2024-03-22,In Transit
China,France,10.5,2024-11-04,Delivered
USA,Italy,42.58,2024-04-16,In Transit
China,UK,7.95,2024-11-14,Pending
Spain,France,11.43,2024-04-11,In Transit
Spain,France,30.07,2024-01-02,Pending
Germany,Germany,46.27,2024-07-15,Delivered
USA,France,44.56,2024-06-26,Pending
Spain,France,12.1,2024-01-23,Delivered
USA,France,18.88,2024-10-06,Pending
USA,France,-5.06,2024-05-04,Pending
China,France,24.73,2024-05-18,In Transit
Spain,UK,-6.21,2024-11-23,Delivered
Germany,France,21.76,2024-01-12,Delivered
China,France,43.99,2024-04-22,Delivered
Tunisia,France,11.5,2024-06-09,Pending
USA,France,41.91,2024-12-03,Delivered
China,France,-5.92,2024-12-02,Pending
China,UK,7.95,2024-06-16,Pending
Tunisia,Germany,35.6,2024-06-07,In Transit
China,France,-0.18,2024-12-07,In Transit
Germany,UK,43.2,2024-04-22,In Transit
Spain,France,-3.11,2024-10-09,Pending
China,France,-7.8,2024-03-07,In Transit
Spain,France,25.68,2024-06-04,In Transit
Tunisia,Germany,18.8,2024-02-14,Delivered
China,Italy,40.36,2024-02-06,Delivered
Germany,France,-3.41,2024-05-22,Delivered
Germany,France,35.87,2024-06-12,In Transit
Tunisia,UK,11.61,2024-07-04,Delivered
Tunisia,France,-5.75,2024-04-24,Delivered
Tunisia,UK,7.95,2024-10-16,In Transit
China,France,32.76,2024-06-02,Delivered
China,UK,28.44,2024-06-19,Pending
China,France,17.98,2024-07-05,Pending
Spain,Germany,18.05,2024-07-08,Delivered
Tunisia,Germany,7.95,2024-07-25,Pending
Germany,UK,7.95,2024-09-19,Delivered
Spain,Italy,7.95,2024-12-18,In Transit
Spain,France,7.95,2024-01-19,In Transit
China,France,13.45,2024-02-13,Pending
